'key'|'en'|'fr'|'sp'|'gm'|'du'|'ru'|'th'|'jp'|'po'|'cn'|'it'|'in'|'tk'|'ko'
'Language'|'English'|'Français'|'Español'|'Deutsche'|'Nederlands'|'русский'|'ภาษาไทย'|'日本語'|'Portugues'|'中文'|'Italiano'|'Indonesia'|'Türk'|'한국어'
'Score'|'Score'|'Score'|'Puntaje'|'Punktzahl'|'Punten'|'Счёт'|'คะแนน'|'スコア'|'Pontuação'|'得分'|'Punteggio'|'Skor'|'Skor'|'점수'
'Best'|'Best'|'Meilleur Score'|'Más Alto'|'Höchstpunktzahl'|'Topscore'|'Рекорд'|'คะแนนสูงสุด'|'ハイスコア'|'Pontuação Máx.'|'最高得分'|'Record Di Punti'|'Skor Tinggi'|'Yüksek Skor'|'최고 점수'
'Rate'|'Rate Us!'|'Évaluez nous!'|'¡Evalúanos!'|'Bewerten Sie uns!'|'Beoordeel ons!'|'Оцените нас!'|'ให้คะแนนเรา!'|'評価してください！'|'Nos avalie!'|'评价我们！'|'Valutaci!'|'Beri nilai kami!'|'Bizi degerlendirin!'|'우리를 평가하십시오!'
'Credits'|'Credits'|'Crédits'|'Créditos'|'Credits'|'Credits'|'Титры'|'เครดิต'|'クレジット'|'Créditos'|'致谢'|'Crediti'|'Kredit'|'Tanitim'|'크레디트'
'Privacy'|'Privacy Policy'|'Politique de confidentialite'|'Privacidad'|'Datenschutzerklärung'|'Privacybeleid'|'Условия конфиденциальности'|'นโยบายความเป็นส่วนตัว'|'プライバシー方針'|'Politica de Privacidade'|'隐私政策'|'Informativa Sulla Privacy'|'Kebijakan Privasi'|'Gizlilik Politikasi'|'개인정보 보호정책'
'Art'|'Art'|'Art'|'Arte'|'Kunst'|'Kunst'|'Изобразительное искусство'|'ศิลปะ'|'アート'|'Arte'|'艺术'|'Arte'|'Seni'|'Sanat'|'미술'
'Programming'|'Programming'|'Programmation'|'Programación'|'Programmierung'|'Programmeren'|'Программирование'|'การเขียนโปรแกรม'|'プログラミング'|'Programação'|'程式设计'|'Programmazione'|'Pemrograman'|'Programlama'|'프로그램 작성'
'Sound'|'Music and SFX'|'Musique et SFX'|'Música y SFX'|'Musik und SFX'|'Muziek en SFX'|'Музыка и спецэффекты'|'ดนตรีและเสียงประกอบ'|'音楽と効果音'|'Música e SFX'|'音乐和声音效果'|'Musica e effetti sonori'|'Musik dan SFX'|'Müzik ve SFX'|'음악 및 음향 효과'
'Tut1'|'Meet the <#FF5678>Sleepy Squares</color>!'|'Rencontre les <#FF5678>Carrés Endormis</color>!'|'¡Te presento los <#FF5678>Cubitos Dormilones</color>!'|'Lerne die <#FF5678>Schläfrige Quadrate</color> kennen!'|'Maak kennis met de <#FF5678>Slaperige Vierkanten</color>!'|'Встречайте <#FF5678>Сонные квадратики</color>!'|'เชิญพบกับ <#FF5678>สแควร์ง่วงนอน</color>!'|'<#FF5678>眠そうな広場</color>が登場！'|'Conheça os <#FF5678>Quadrados Dorminhocos</color>!'|'见识一下<#FF5678>贪睡方块</color>吧！'|'Conosce i <#FF5678>Quadrati Sonnolenti</color>!'|'Perkenalkan <#FF5678>Kotak Mengantuk</color>!'|'<#FF5678>Uykulu Kareler</color> tanışın!'|'<#FF5678>슬리피 스퀘어</color>를 소개합니다!'
'Tut2'|'Put the <#FF5678>squares</color> to sleep to score <#FF5678>points</color>.'|'Endors les <#FF5678>carrés</color> pour marquer des <#FF5678>points</color>.'|'Pon los <#FF5678>cubitos</color> a dormir para ganar <#FF5678>puntos</color>.'|'Versetze die <#FF5678>Quadrate</color> in Schlaf, um <#FF5678>Punkte</color> zu erzielen.'|'Zorg dat de <#FF5678>vierkanten</color> slapen om <#FF5678>punten</color> te scoren.'|'Уложите <#FF5678>квадратики</color> спать, чтобы набрать <#FF5678>очки</color>.'|'กล่อม<#FF5678>สี่เหลี่ยม</color>ให้หลับเพื่อทำ<#FF5678>คะแนน</color>'|'<#FF5678>正方形</color>を眠らせて<#FF5678>得点</color>しましょう。'|'Coloque os <#FF5678>quadrados</color> para dormir para marcar <#FF5678>pontos</color>.'|'让<#FF5678>贪睡方块</color>闭上眼睡觉来<#FF5678>得分</color>。'|'Fai addormentare i <#FF5678>quadrati</color> per guadagnare <#FF5678>punti</color>.'|'Buatlah tiap <#FF5678>kotak</color> tertidur untuk mencetak <#FF5678>poin</color>.'|'<#FF5678>Puan</color> kazanmak için <#FF5678>kareleri</color> uyutun.'|'<#FF5678>네모들</color>이 잠들 수 있게 해 주고 <#FF5678>점수</color>를 획득하세요.'
'Tut3'|'Awake <#FF5678>squares</color> placed next to each other form a <#FF5678>connection</color>.'|'Les <#FF5678>carrés</color> éveillés placés les uns à côté des autres forment une <#FF5678>connexion</color>.'|'Los <#FF5678>cubitos</color> despiertos colocados uno al lado del otro forman una <#FF5678>conexión</color>.'|'Wache <#FF5678>Quadrate</color>, die nebeneinander liegen, bilden eine <#FF5678>Verbindung</color>.'|'Maak <#FF5678>vierkanten</color> die naast elkaar staan wakker om te <#FF5678>koppelen</color>.'|'Неспящие <#FF5678>квадратики</color>, расположенные рядом друг с другом, образуют <#FF5678>связь</color>.'|'วาง<#FF5678>สี่เหลี่ยม</color>ที่ตื่นอยู่ไว้ข้างกันเพื่อให้เชื่อมต่อกัน'|'眠っていない<#FF5678>正方形</color>同士が隣り合うと、<#FF5678>接続</color>します。'|'<#FF5678>Quadrados</color> acordados situados perto um do outro, formam uma <#FF5678>conexão</color>.'|'醒着的<#FF5678>方块</color>放在一起形成一个<#FF5678>连接</color>。'|'I <#FF5678>quadrati</color> svgliati posti uno accanto allaltro formano una <#FF5678>connessione</color>.'|'Tiap <#FF5678>kotak</color> terjaga yang bersebelahan membentuk <#FF5678>hubungan</color>.'|'Yan yana yerleştirilen uyanık <#FF5678>kareler</color> bir <#FF5678>bağlantı</color> oluşturur.'|'깨어 있는 <#FF5678>네모들</color>을 옆에 두면 서로 <#FF5678>연결</color>됩니다.'
'Tut4'|'<#FF5678>Squares</color> will close one <#FF5678>eye</color> when they <#FF5678>connect</color>.'|'Les <#FF5678>carrés</color> fermeront un <#FF5678>œil</color> lorsquils se <#FF5678>connecteront</color>.'|'Los <#FF5678>cubitos</color> cerrarán un <#FF5678>ojito</color> al <#FF5678>conectarse</color>.'|'Sobald sie sich <#FF5678>verbunden</color> haben, werden die <#FF5678>Quadrate</color> ein  <#FF5678>Auge</color> schließen.'|'<#FF5678>Vierkanten</color> sluiten één <#FF5678>oog</color> als ze <#FF5678>gekoppeld</color> worden.'|'При <#FF5678>соединении квадратики</color> закрывают один <#FF5678>глаз</color>.'|'<#FF5678>สี่เหลี่ยม</color>จะหลับ<#FF5678>ตา</color>หนึ่งข้างเมื่อ<#FF5678>เชื่อมต่อ</color>กัน'|'<#FF5678>正方形</color>は、隣と<#FF5678>接続</color>すると<#FF5678>目</color>を1つ閉じます。'|'<#FF5678>Quadrados</color> fecharão um <#FF5678>olho</color> quando se <#FF5678>conectarem</color>.'|'<#FF5678>连接时</color>，<#FF5678>方块</color>会闭上一只<#FF5678>眼睛</color>。'|'I <#FF5678>quadrati</color> chiuderanno un <#FF5678>occhio</color> quando si <#FF5678>connettono</color>.'|'Tiap <#FF5678>kotak</color> akan menutup satu <#FF5678>mata</color> ketika <#FF5678>terhubung</color>.'|'<#FF5678>Kareler</color> bağlandıklarında bir <#FF5678>gözlerini</color> kapatır.'|'<#FF5678>연결</color>이 되면 <#FF5678>네모들</color>이 한 <#FF5678>눈</color>을 감습니다.'
'Tut5'|'If all <#FF5678>connected squares</color> are sleeping, you score <#FF5678>points</color>.'|'Si tous les <#FF5678>carrés connectés</color> dorment, tu marques des <#FF5678>points</color>.'|'Si todos <#FF5678>los cubitos conectados</color> están dormidos, ganas <#FF5678>puntos</color>.'|'Wenn alle <#FF5678>verbundenen Quadrate</color> schlafen, erhältst du <#FF5678>Punkte</color>.'|'Als alle <#FF5678>gekoppelde vierkanten</color> slapen, scoor jij <#FF5678>punten</color>.'|'Если все <#FF5678>соединенные квадратики</color> спят, вы набираете <#FF5678>очки</color>.'|'หาก<#FF5678>สี่เหลี่ยมที่เชื่อมต่อกัน</color>ทั้งหมดหลับไปแล้ว คุณจะได้<#FF5678>คะแนน</color>'|'<#FF5678>接続した正方形</color>がすべて眠ると、<#FF5678>ポイント</color>を獲得できます。'|'Se todos os <#FF5678>quadrados conectados</color> estiverem dormindo, você marca <#FF5678>pontos</color>.'|'如果所有<#FF5678>连接的方块</color>都闭上眼睡觉，你就可以<#FF5678>得分</color>。'|'Se tutte le <#FF5678>quadrati collegati</color> stanno dormendo, ottieni <#FF5678>punti</color>.'|'Jika semua kotak yang <#FF5678>terhubung</color> tidur, kamu mendapat <#FF5678>poin</color>.'|'<#FF5678>Bağlı</color> tüm <#FF5678>kareler</color> uyuyorsa, <#FF5678>puan</color> kazanırsınız.'|'모든 <#FF5678>연결된 네모</color>가 잠들면, <#FF5678>점수</color>를 획득합니다.'
'Tut6'|'Nice, you scored <#FF5678>8 points</color>!'|'Bien, tu as marqué <#FF5678>8 points</color>!'|'¡Muy bien, ganaste <#FF5678>8 puntos</color>!'|'Toll, du hast <#FF5678>8 Punkte</color> erzielt!'|'Mooi, je hebt <#FF5678>8 punten</color> gescoord!'|'Здорово, вы набрали <#FF5678>8 очков</color>!'|'เยี่ยม คุณได้ 8 <#FF5678>คะแนน</color>!'|'いいですね、<#FF5678>8ポイント</color>を得点しました！'|'Legal, você marcou <#FF5678>8 pontos</color>!'|'很好，你得了<#FF5678>8分</color>！'|'Bravo, hai ottenuto <#FF5678>8 punti</color>!'|'Bagus, kamu mendapat <#FF5678>8 poin</color>!'|'Güzel, <#FF5678>8 puan</color> kazandın!'|'훌륭합니다, <#FF5678>8점</color>을 획득하셨습니다!'
'Tut7'|'<#FF5678>Tap</color> the game board to place <#FF5678>squares</color>. Try and score <#FF5678>40 points</color>.'|'<#FF5678>Appuis</color> sur le plateau de jeu pour placer des <#FF5678>carrés</color>. Essaie de marquer <#FF5678>40 points</color>.'|'<#FF5678>Toca</color> las casillas del tablero para colocar los <#FF5678>cubitos</color>. Trata de ganar <#FF5678>40 puntos</color>.'|'<#FF5678>Tippe</color> auf das Spielbrett, um <#FF5678>Quadrate</color> zu platzieren. Probiere es aus und erziele <#FF5678>40 Punkte</color>.'|'<#FF5678>Tik</color> op het spelbord om <#FF5678>vierkanten</color> te plaatsen. Probeer <#FF5678>40 punten</color> te scoren.'|'<#FF5678>Коснитесь</color> игрового поля, чтобы расставить <#FF5678>квадратики</color>. Попробуйте набрать <#FF5678>40 очков</color>.'|'<#FF5678>แตะ</color>กระดานเกมเพื่อวาง<#FF5678>สี่เหลี่ยม</color> พยายามทำคะแนนให้ได้ <#FF5678>40 คะแนน</color>'|'ゲームボードを<#FF5678>タップ</color>して<#FF5678>正方形</color>を配置しましょう。<#FF5678>40ポイント</color>を得点してみてください。'|'<#FF5678>Clique</color> no tabuleiro do jogo para posicionar os <#FF5678>quadrados</color>. Tente e marque <#FF5678>40 pontos</color>.'|'<#FF5678>点击</color>游戏板放置<#FF5678>方块</color>。试着得到<#FF5678>40分</color>。'|'<#FF5678>Tocca</color> il tabellone per posizionare i <#FF5678>quadrati</color>. Prova a ottenere <#FF5678>40 punti</color>.'|'<#FF5678>Ketuk</color> papan untuk menaruh <#FF5678>kotak</color>. Coba dapatkan <#FF5678>40 poin</color>.'|'<#FF5678>Kareleri</color> yerleştirmek için oyun tahtasına <#FF5678>dokunun</color>. Deneyin ve <#FF5678>40 puan</color> kazanın.'|'게임 보드를 <#FF5678>탭</color>하여 <#FF5678>네모</color>를 배치하세요. <#FF5678>40점</color>을 획득해 보세요.'
